%time,field.header.seq,field.header.stamp,field.header.frame_id,field.armed,field.failsafe,field.rc_override,field.offboard,field.control_mode,field.error_code,field.num_errors,field.loop_time_us
1564692308651911552,264,1564692308651140828,,0,0,1,0,2,4,28324,125
1564692308752403364,265,1564692308751078462,,0,0,1,0,2,4,28330,125
1564692308852610753,266,1564692308851164932,,0,0,1,0,2,4,28334,125
1564692308954437050,267,1564692308953203942,,0,0,1,0,2,4,28338,31
1564692309054858402,268,1564692309053124492,,0,0,1,0,2,4,28342,282
1564692309155073292,269,1564692309153124460,,0,0,1,0,2,4,28346,125
1564692309254452164,270,1564692309252994551,,0,0,1,0,2,4,28350,31
1564692309354399881,271,1564692309353074479,,0,0,1,0,2,4,28354,125
1564692309455512455,272,1564692309454794232,,0,0,1,0,2,4,28358,31
1564692309556036601,273,1564692309555119124,,0,0,1,0,2,4,28362,63
1564692309656305283,274,1564692309655139134,,0,0,1,0,2,4,28366,63
1564692309756354211,275,1564692309755115102,,0,0,1,0,2,4,28372,31
1564692309856226010,276,1564692309855150279,,0,0,1,0,2,4,28376,31
1564692309956138934,277,1564692309955097955,,0,0,1,0,2,4,28380,31
1564692310058363073,278,1564692310057241550,,0,0,1,0,2,4,28384,32
1564692310157935783,279,1564692310157109141,,0,0,1,0,2,4,28388,31
1564692310258473512,280,1564692310257146776,,0,0,1,0,2,4,28392,32
1564692310358660234,281,1564692310357266622,,0,0,1,0,2,4,28396,62
1564692310458333529,282,1564692310457222131,,0,0,1,0,2,4,28400,63
1564692310559208098,283,1564692310558799590,,0,0,1,0,2,4,28404,62
1564692310659965207,284,1564692310659162566,,0,0,1,0,2,4,28406,125
1564692310760319849,285,1564692310759181951,,0,0,1,0,2,4,28412,32
1564692310860728326,286,1564692310859264088,,0,0,1,0,2,4,28416,63
1564692310959968154,287,1564692310959131553,,0,0,1,0,2,4,28420,125
1564692311059544488,288,1564692311059179897,,0,0,1,0,2,4,28424,219
1564692311161598623,289,1564692311161287492,,0,0,1,0,2,4,28428,31
1564692311262519902,290,1564692311261193042,,0,0,1,0,2,4,28432,375
1564692311362557955,291,1564692311361154551,,0,0,1,0,2,4,28436,31
1564692311461912910,292,1564692311461153019,,0,0,1,0,2,4,28440,94
1564692311562734603,293,1564692311561318949,,0,0,1,0,2,4,28444,125
1564692311664439856,294,1564692311663480753,,0,0,1,0,2,4,28448,188
1564692311764286488,295,1564692311763203632,,0,0,1,0,2,4,28454,62
1564692311866018492,296,1564692311865030763,,0,0,1,0,2,4,28458,31
1564692311964907437,297,1564692311963206152,,0,0,1,0,2,4,28462,63
1564692312064755736,298,1564692312063251496,,0,0,1,0,2,4,28466,63
1564692312165321840,299,1564692312164943791,,0,0,1,0,2,4,28470,125
1564692312268194076,300,1564692312267161805,,0,0,1,0,2,4,28474,32
1564692312366344840,301,1564692312365212941,,0,0,1,0,2,4,28478,31
1564692312466587063,302,1564692312465164909,,0,0,1,0,2,4,28482,31
1564692312566596823,303,1564692312565217003,,0,0,1,0,2,4,28486,94
1564692312667412600,304,1564692312666946673,,0,0,1,0,2,4,28490,94
1564692312768461173,305,1564692312767339066,,0,0,1,0,2,4,28496,94
1564692312868208469,306,1564692312867201698,,0,0,1,0,2,4,28500,94
1564692312968357232,307,1564692312967393962,,0,0,1,0,2,4,28504,63
1564692313069933191,308,1564692313068836543,,0,0,1,0,2,4,28508,31
1564692313168499671,309,1564692313167132810,,0,0,1,0,2,4,28510,94
1564692313270245384,310,1564692313269195154,,0,0,1,0,2,4,28514,31
1564692313369892803,311,1564692313369231664,,0,0,1,0,2,4,28518,62
1564692313471575472,312,1564692313470975794,,0,0,1,0,2,4,28522,62
1564692313570600879,313,1564692313569102182,,0,0,1,0,2,4,28526,31
1564692313670408468,314,1564692313669213069,,0,0,1,0,2,4,28530,32
1564692313771419957,315,1564692313770881863,,0,0,1,0,2,4,28536,31
1564692313874411195,316,1564692313872993750,,0,0,1,0,2,4,28540,31
1564692313972274453,317,1564692313971219556,,0,0,1,0,2,4,28544,375
1564692314072775015,318,1564692314071112772,,0,0,1,0,2,4,28548,187
1564692314172784192,319,1564692314171221868,,0,0,1,0,2,4,28552,31
1564692314274003018,320,1564692314272978580,,0,0,1,0,2,4,28556,32
1564692314374129156,321,1564692314373218887,,0,0,1,0,2,4,28560,32
1564692314473597321,322,1564692314473248064,,0,0,1,0,2,4,28564,62
1564692314573655332,323,1564692314573243491,,0,0,1,0,2,4,28568,125
1564692314674859159,324,1564692314673265876,,0,0,1,0,2,4,28572,31
1564692314774471077,325,1564692314773118633,,0,0,1,0,2,4,28578,187
1564692314876578755,326,1564692314875258728,,0,0,1,0,2,4,28582,32
1564692314976038171,327,1564692314975209779,,0,0,1,0,2,4,28586,31
1564692315076260560,328,1564692315075245915,,0,0,1,0,2,4,28590,125
1564692315176738330,329,1564692315175241174,,0,0,1,0,2,4,28594,344
1564692315276610587,330,1564692315275409229,,0,0,1,0,2,4,28598,63
1564692315376445469,331,1564692315375132900,,0,0,1,0,2,4,28602,125
1564692315477935051,332,1564692315477265037,,0,0,1,0,2,4,28606,188
1564692315578489864,333,1564692315577642013,,0,0,1,0,2,4,28610,94
1564692315678613168,334,1564692315677262057,,0,0,1,0,2,4,28614,31
1564692315779009269,335,1564692315777402195,,0,0,1,0,2,4,28618,281
1564692315879187950,336,1564692315877466998,,0,0,1,0,2,4,28622,31
1564692315980087978,337,1564692315979419214,,0,0,1,0,2,4,28626,375
1564692316080126780,338,1564692316079253596,,0,0,1,0,2,4,28630,62
1564692316180379754,339,1564692316179270523,,0,0,1,0,2,4,28634,31
1564692316280335013,340,1564692316279142988,,0,0,1,0,2,4,28638,125
1564692316382021766,341,1564692316381030370,,0,0,1,0,2,4,28642,250
1564692316482784374,342,1564692316481342803,,0,0,1,0,2,4,28646,62
1564692316582630798,343,1564692316581304854,,0,0,1,0,2,4,28650,62
1564692316682290717,344,1564692316681274905,,0,0,1,0,2,4,28654,93
1564692316782792404,345,1564692316781271040,,0,0,1,0,2,4,28660,125
1564692316882710621,346,1564692316881251133,,0,0,1,0,2,4,28664,281
1564692316983479397,347,1564692316983035512,,0,0,1,0,2,4,28668,94
1564692317084331757,348,1564692317083297903,,0,0,1,0,2,4,28672,94
1564692317183794881,349,1564692317183429207,,0,0,1,0,2,4,28676,219
1564692317284142148,350,1564692317283271130,,0,0,1,0,2,4,28680,31
1564692317385903819,351,1564692317383134221,,0,0,1,0,2,4,28684,31
1564692317484506550,352,1564692317483319068,,0,0,1,0,2,4,28688,187
1564692317587115072,353,1564692317585277909,,0,0,1,0,2,4,28692,94
1564692317685705303,354,1564692317685300545,,0,0,1,0,2,4,28696,31
1564692317785611186,355,1564692317785276513,,0,0,1,0,2,4,28702,32
1564692317886408546,356,1564692317885280648,,0,0,1,0,2,4,28706,32
1564692317986608893,357,1564692317985305700,,0,0,1,0,2,4,28710,31
1564692318088639611,358,1564692318087345043,,0,0,1,0,2,4,28714,32
1564692318188291156,359,1564692318187329094,,0,0,1,0,2,4,28718,32
1564692318288686757,360,1564692318287630152,,0,0,1,0,2,4,28720,94
1564692318388383011,361,1564692318387303822,,0,0,1,0,2,4,28724,188
1564692318488690027,362,1564692318487333916,,0,0,1,0,2,4,28728,125
1564692318590400864,363,1564692318589173797,,0,0,1,0,2,4,28732,31
1564692318690483458,364,1564692318689315393,,0,0,1,0,2,4,28736,125
1564692318790414592,365,1564692318789301236,,0,0,1,0,2,4,28742,125
1564692318890865028,366,1564692318889206452,,0,0,1,0,2,4,28746,94
1564692318990518531,367,1564692318989328423,,0,0,1,0,2,4,28750,63
1564692319090789213,368,1564692319089340183,,0,0,1,0,2,4,28754,93
1564692319192630760,369,1564692319191319608,,0,0,1,0,2,4,28758,31
1564692319292710105,370,1564692319291637000,,0,0,1,0,2,4,28762,125
1564692319392484527,371,1564692319391328337,,0,0,1,0,2,4,28766,31
1564692319492438078,372,1564692319491223470,,0,0,1,0,2,4,28770,31
1564692319594034037,373,1564692319591401900,,0,0,1,0,2,4,28774,125
1564692319695831251,374,1564692319693473410,,0,0,1,0,2,4,28778,125
1564692319794638819,375,1564692319793361376,,0,0,1,0,2,4,28784,31
1564692319894413950,376,1564692319893351928,,0,0,1,0,2,4,28788,187
1564692319994744466,377,1564692319993299478,,0,0,1,0,2,4,28792,187
1564692320094398344,378,1564692320093349198,,0,0,1,0,2,4,28796,32
1564692320194647234,379,1564692320193387833,,0,0,1,0,2,4,28800,125
1564692320296453906,380,1564692320295500636,,0,0,1,0,2,4,28804,31
